medcodeid	term
94884017	Acute myocardial infarction
1780501013	Acute non-ST segment elevation myocardial infarction
219531000000117	MI - acute myocardial infarction
1780491019	Acute ST segment elevation myocardial infarction
299714019	Acute myocardial infarction of inferior wall
4031011	Old myocardial infarction
299721019	Acute myocardial infarction NOS
299709018	Anterior myocardial infarction NOS
455641000006112	Acute anterolateral myocardial infarction
810811000006116	H/O: myocardial infarct at less than 60
810821000006112	H/O: myocardial infarct at greater than 60
116992017	Acute subendocardial infarction
457531000006110	Acute inferolateral myocardial infarction
37443015	Heart attack
299707016	Acute anterior myocardial infarction
230021000006115	Personal history of myocardial infarction
2855301000006112	Myocardial infarction
884151000006119	Myocardial Infarction
256452010	ECG: myocardial infarction
299710011	Acute posterior myocardial infarction
256454011	ECG: old myocardial infarction
455651000006114	Acute anteroseptal myocardial infarction
1234005010	Acute inferoposterior infarction
450322013	Acute non-Q wave infarction
350376014	Silent myocardial infarction
299711010	Acute lateral myocardial infarction
1786197015	Coronary thrombosis
1738171000006114	History of myocardial infarction
451369010	H/O: Myocardial infarction in last year
299718016	Other acute myocardial infarction
6651391000006114	NSTEMI - Non-ST segment elevation MI
256455012	ECG: antero-septal infarct.
1.39300510000e+16	Dressler's syndrome
458410010	Post infarct angina
256457016	ECG:posterior/inferior infarct
219521000000119	Attack - heart
256460011	ECG: myocardial infarct NOS
7571581000006113	Acute anterior ST segment elevation myocardial infarction
299808017	Subsequent myocardial infarction
208365015	Postoperative myocardial infarction
4032016	Healed myocardial infarction
6651221000006117	STEMI - ST elevation myocardial infarction
1234306015	Acute septal infarction
7572321000006112	Acute ST segment elevation myocardial infarction of inferior wall
447324018	Acute Q-wave infarct
884141000006116	Coronary thrombosis
299720018	Other acute myocardial infarction NOS
460681000006116	Acute transmural myocardial infarction of unspecif site
256458014	ECG: subendocardial infarct
299719012	Acute atrial infarction
299712015	True posterior myocardial infarction
256459018	ECG: lateral infarction
1786198013	Thrombosis - coronary
3381601000006117	Acute myocardial infarction of anterior wall
109915012	Post-myocardial infarction syndrome
216351000006118	Post infarction pericarditis
967931000006114	Acute myocardial infarction of posterolateral wall
299708014	Acute anteroapical infarction
537751000006115	Cardiac rupture after acute myocardial infarction
100681000006116	Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction
299812011	Subsequent myocardial infarction of inferior wall
7571601000006115	Acute STEMI (ST elevation myocardial infarction) of anterior wall
6601121000006118	Coronary artery thrombosis
7572331000006110	Acute STEMI (ST elevation myocardial infarction) of inferior wall
9868571000006116	Mural thrombus of left ventricle following acute myocardial infarction
299811016	Subsequent myocardial infarction of anterior wall
455422014	Postoperative subendocardial myocardial infarction
5056421000006119	Old inferior myocardial infarction
1.39300310000e+16	Delayed postmyocardial infarction pericarditis
813961000006116	Haemopericardium as current complication following acute myocardial infarction
3641641000006116	Acute myocardial infarction of anterolateral wall
362461000006119	[X]Acute transmural myocardial infarction of unspecif site
498031000006112	Atrial septal defect as current complication following acute myocardial infarction
455423016	Postoperative myocardial infarction, unspecified
1.21223410000e+16	Acute ST segment elevation myocardial infarction of inferoposterior wall
1.21223310000e+16	Acute ST segment elevation myocardial infarction of inferolateral wall
109916013	Dressler's syndrome
1.40150310000e+16	Myocardial infarction due to demand ischaemia
5056411000006110	Old anterior myocardial infarction
9843961000006118	Acute ST segment elevation myocardial infarction of anterolateral wall
67081000006119	Ventricular septal defect as current complication following acute myocardial infarction
7510331000006117	History of non-ST segment elevation myocardial infarction
118831000006118	Subsequent myocardial infarction of unspecified site
5056941000006119	Post-infarction pericarditis
6546751000006118	First myocardial infarction
2855351000006111	Myocardial infarct
8087751000006116	Acute ST segment elevation myocardial infarction involving left anterior descending coronary artery
3565871000006113	Acute myocardial infarction of inferolateral wall
543291000006110	Myocardial infarction with complication
7574481000006111	Subsequent non-ST segment elevation myocardial infarction
4586131000006114	ECG: anteroseptal infarction
9844011000006120	Acute ST segment elevation myocardial infarction of posterior wall
1.39411410000e+16	Acute ST segment elevation myocardial infarction due to mid left anterior descending coronary artery occlusion
2515471000006117	Septal infarction by electrocardiogram
3452181000006112	Acute myocardial infarction of lateral wall
6043771000006118	Non-Q wave myocardial infarction
7093091000006111	Recent myocardial infarction
8011041000006111	Acute myocardial infarction due to right coronary artery occlusion
1.39352110000e+16	Acute myocardial infarction of inferolateral wall with posterior extension
3745741000006117	Acute myocardial infarction of inferoposterior wall
616081000006113	Diabetes mellitus insulin-glucose infusion in acute myocardial infarction
5935321000006111	Acute Q wave myocardial infarction
3699921000006110	Acute inferior myocardial infarction
212071000006114	Postoperative transmural myocardial infarction of inferior wall
3459561000006119	Acute myocardial infarction of apical-lateral wall
7574491000006114	Subsequent NSTEMI (non-ST segment elevation myocardial infarction)
4586111000006115	Anteroseptal infarction on electrocardiogram
212061000006119	Postoperative transmural myocardial infarction of anterior wall
299813018	Subsequent myocardial infarction of other sites
7572341000006117	Acute inferior ST segment elevation myocardial infarction
3024781000006112	Past myocardial infarction diagnosed on ECG AND/OR other special investigation, but currently presenting no symptoms
300882013	[X]Subsequent myocardial infarction of unspecified site
3576371000006117	Postmyocardial infarction syndrome
5056501000006113	Post-infarction ventricular septal defect
7084801000006112	Mixed myocardial ischaemia and infarction
9843981000006112	Acute ST segment elevation myocardial infarction of lateral wall
158601000006116	Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction
1.39410910000e+16	Acute ST segment elevation myocardial infarction due to proximal left anterior descending coronary artery occlusion
9843991000006114	Acute ST segment elevation myocardial infarction of anteroseptal wall
9844051000006118	Acute ST segment elevation myocardial infarction due to right coronary artery occlusion
408571000006116	[X]Other current complicatns following acute myocard infarct
5056431000006116	Old lateral myocardial infarction
3551171000006114	Acute myocardial infarction of high lateral wall
212091000006110	Postoperative transmural myocardial infarction unspec site
7571611000006117	Acute ST segment elevation myocardial infarction of anterior wall involving right ventricle
2855341000006114	MI - Myocardial infarction
7572221000006117	Subsequent ST segment elevation myocardial infarction of inferior wall
8087551000006113	History of acute ST segment elevation myocardial infarction
7848521000006117	Pulmonary embolism as current complication following acute myocardial infarction
3526080018	Mural thrombus of right ventricle following acute myocardial infarction
1.39412110000e+16	Acute ST segment elevation myocardial infarction due to distal left anterior descending coronary artery occlusion
1.39614610000e+16	Acute ST segment elevation myocardial infarction due to occlusion of posterior lateral branch of right coronary artery
5056311000006117	Acute Q wave infarction - inferior
7574041000006111	Mitral valve regurgitation due to acute myocardial infarction
8032161000006112	Coronary arteriosclerosis in patient with history of previous myocardial infarction
3784911000006111	Acute myocardial infarction of septum
159001000006119	Rupture of papillary muscle as current complication following acute myocardial infarction
5056441000006114	Old posterior myocardial infarction
9843951000006116	Acute ST segment elevation myocardial infarction of posterolateral wall
1.39452110000e+16	Acute ST segment elevation myocardial infarction due to occlusion of anterior descending branch of left coronary artery
1.39459810000e+16	Acute ST segment elevation myocardial infarction due to occlusion of septal branch of anterior descending branch of left coronary artery
1.39614510000e+16	Acute STEMI (ST elevation myocardial infarction) due to PDA (posterior descending artery) branch of RCA (right coronary artery) occlusion
300881018	[X]Subsequent myocardial infarction of other sites
4586221000006118	Lateral infarction on electrocardiogram
3655161000006110	Pericarditis secondary to acute myocardial infarction
6914971000006118	Myocardial infarction in recovery phase
7572861000006110	Acute myocardial infarction of anterior wall involving right ventricle
1.40572210000e+16	Rupture of ventricle due to acute myocardial infarction
1.39351610000e+16	Acute myocardial infarction of right ventricle
1.39613410000e+16	Acute ST segment elevation myocardial infarction due to occlusion of distal portion of right coronary artery
1.39614410000e+16	Acute ST segment elevation myocardial infarction due to occlusion of posterior descending branch of right coronary artery
7572251000006114	Subsequent ST segment elevation myocardial infarction of anterior wall
7572281000006118	Subsequent ST segment elevation myocardial infarction
7572301000006119	Acute myocardial infarction during procedure
7572881000006117	Acute ST segment elevation myocardial infarction of inferior wall involving right ventricle
7662871000006115	Inducible ischaemia manifest on stress test post myocardial infarction
9844071000006112	Acute ST segment elevation myocardial infarction of septum
1.39411610000e+16	Acute STEMI (ST elevation myocardial infarction) due to mid LAD (left anterior descending) coronary artery occlusion
1.39614310000e+16	Acute STEMI (ST elevation myocardial infarction) due to AM (acute marginal) branch of RCA (right coronary artery) occlusion
3427201000006111	AMI - Acute myocardial infarction
158611000006118	Rupture of chordae tendinae as current complication following acute myocardial infarction
212081000006112	Postoperative transmural myocardial infarction other sites
5056271000006117	Acute Q wave infarction - anteroseptal
8004261000006118	Acute myocardial infarction due to left coronary artery occlusion
7572291000006115	Subsequent STEMI (ST elevation myocardial infarction)
7574081000006117	Mitral valve regurgitation due to acute myocardial infarction without papillary muscle and chordal rupture
7848501000006110	Ventricular aneurysm as current complication following acute myocardial infarction
7848541000006112	Arrhythmia as current complication following acute myocardial infarction
1.39613810000e+16	Acute STEMI (ST elevation myocardial infarction) due to mid RCA (right coronary artery) occlusion
5056951000006117	Pericarditis following myocardial infarction
5056321000006113	Acute non-Q wave infarction - inferior
5056331000006111	Acute Q wave infarction - inferolateral
5056341000006118	Acute non-Q wave infarction - inferolateral
5056461000006113	MI - Silent myocardial infarction
6601131000006115	CT - Coronary thrombosis
1.39352010000e+16	Acute apical myocardial infarction of heart
1.39613510000e+16	Acute STEMI (ST elevation myocardial infarction) due to distal RCA (right coronary artery) occlusion
1.39614210000e+16	Acute ST segment elevation myocardial infarction due to occlusion of marginal branch of right coronary artery
6619191000006115	Past history of myocardial infarction
3343471000006116	Acute anteroapical myocardial infarction
4776171000006116	Reinfarction of myocardium
5056301000006115	Acute non-Q wave infarction - anterolateral
2503001000006118	Acute myocardial infarction of basal-lateral wall
6361051000006117	TIMI grade 2: partial perfusion
7107851000006112	Anterior myocardial infarction on electrocardiogram
7572261000006111	Subsequent STEMI (ST elevation myocardial infarction) of anterior wall
7571621000006113	Acute anterior ST segment elevation myocardial infarction with right ventricular involvement
9844021000006110	Acute ST segment elevation myocardial infarction due to left coronary artery occlusion
3527838013	Myocardial infarction clinical management plan
1.39411110000e+16	Acute STEMI (ST elevation myocardial infarction) due to proximal LAD (left anterior descending) coronary artery occlusion
1.39412310000e+16	Acute STEMI (ST elevation myocardial infarction) due to distal LAD (left anterior descending) coronary artery occlusion
1.39477210000e+16	Acute ST segment elevation myocardial infarction due to occlusion of intermediate artery
1.39613710000e+16	Acute ST segment elevation myocardial infarction due to occlusion of mid portion of right coronary artery
1.39614710000e+16	Acute STEMI (ST elevation myocardial infarction) due to PL (posterolateral) branch of RCA (right coronary artery) occlusion
4540461000006118	History of myocardial infarct at age less than sixty
4540481000006111	History of myocardial infarct at age greater than sixty
3576391000006116	Postmyocardial infarction pericarditis
2526351000006116	Healed coronary
6619201000006117	Previous myocardial infarction
4586031000006113	Electrocardiogram finding of infarction
4586041000006115	Electrocardiographic myocardial infarction
4586051000006118	EKG: myocardial infarction
4775881000006117	True posterior wall infarction
3645351000006114	Acute nontransmural infarction
3699911000006119	Acute myocardial infarction of diaphragmatic wall
4775891000006119	Acute myocardial infarction of atrium
3784921000006115	Acute myocardial infarction of septum alone
6348651000006112	Myocardial infarction with complication
1.22207510000e+16	Hemopericardium due to and following acute myocardial infarction
4776221000006110	Hemopericardium as current complication following acute myocardial infarction
1.22207610000e+16	Haemopericardium due to and following acute myocardial infarction
1.22207710000e+16	Atrial septal defect due to and following acute myocardial infarction
4776251000006118	Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction
1.22207810000e+16	Rupture of chordae tendinae due to and following acute myocardial infarction
1.22207910000e+16	Thrombosis of atrium, auricular appendage, and ventricle due to and following acute myocardial infarction
5974481000006116	History of myocardial infarction in last year
4586151000006119	ECG: antero-septal infarct
4586141000006116	Electrocardiogram: anteroseptal infarction
4586181000006110	Electrocardiographic posterior/inferior infarct
4586171000006112	EKG:posterior/inferior infarct
4586211000006114	Electrocardiographic subendocardial infarct
4586201000006111	EKG: subendocardial infarct
4586241000006113	Electrocardiogram: lateral infarction
6056601000006112	DIGAMI - diabetes mellitus insulin-glucose infusion in acute myocardial infarction
5056521000006115	Defect of ventricular septum following myocardial infarction
4586101000006118	Electrocardiographic old myocardial infarction
4586091000006112	EKG: old myocardial infarction
2855311000006110	Infarction of heart
2855321000006119	Cardiac infarction
5056281000006119	Acute non-Q wave infarction - anteroseptal
5056291000006116	Acute Q wave infarction - anterolateral
5056351000006116	Acute Q wave infarction - lateral
5056361000006119	Acute non-Q wave infarction - lateral
5056371000006114	Acute widespread myocardial infarction
5056381000006112	Acute Q wave infarction - widespread
5056391000006110	Acute non-Q wave infarction - widespread
1.22213010000e+16	Cardiac rupture due to and following acute myocardial infarction
5056681000006117	Post-infarction mitral papillary muscle rupture
2515481000006119	Septal infarction by EKG
2616631000006118	Inferior myocardial infarction on ECG
2616641000006111	Inferior myocardial infarction on ECG (electrocardiogram)
2616621000006116	Inferior infarction by EKG
2616611000006112	Inferior myocardial infarction on electrocardiogram
2987461000006113	Acute myocardial infarction with rupture of ventricle
3024791000006110	Past myocardial infarction diagnosed on electrocardiogram AND/OR other special investigation, but currently presenting no symptoms
3202711000006110	Anterolateral infarction by EKG
3202701000006112	Anterolateral infarction by electrocardiogram
3654691000006112	Acute myocardial infarction of posterobasal wall
1.17783110000e+16	Pericarditis due to acute myocardial infarction
1.24834010000e+16	Certain current complications following acute myocardial infarction
5723601000006115	Myocardiectomy of infarcted area
5723591000006111	Infarct myocardiectomy
6361071000006110	Thrombolysis in Myocardial Infarction grade 2: partial perfusion
6361061000006115	Thrombolysis in Myocardial Infarction (TIMI) grade 2: partial perfusion
6361091000006111	Thrombolysis in Myocardial Infarction (TIMI) grade 3: complete perfusion
6361101000006117	Thrombolysis in Myocardial Infarction grade 3: complete perfusion
6361081000006113	TIMI grade 3: complete perfusion
6361121000006110	Thrombolysis in Myocardial Infarction (TIMI) grade 1: penetration without perfusion
6361131000006113	Thrombolysis in Myocardial Infarction grade 1: penetration without perfusion
6361111000006119	TIMI grade 1: penetration without perfusion
6361151000006118	Thrombolysis in Myocardial Infarction grade 0: no perfusion
6361141000006115	TIMI grade 0: no perfusion
3703011000006111	Posterior infarction by EKG
3703031000006117	Posterior myocardial infarction on ECG (electrocardiogram)
3703001000006113	Posterior myocardial infarction on electrocardiogram
3703021000006115	Posterior myocardial infarction on ECG
7102561000006110	New myocardial infarction compared to prior study
7107881000006116	Anterior myocardial infarction on ECG (electrocardiogram)
7107861000006114	Anterior myocardial infarction on electrocardiogram (EKG)
7107871000006119	Anterior myocardial infarction on ECG
7084811000006110	Mixed myocardial ischemia and infarction
8087771000006114	Acute ST segment elevation myocardial infarction involving left main coronary artery
7965631000006113	History of MI less than 8 weeks
7965621000006110	History of myocardial infarction in last eight weeks
7572271000006116	Subsequent anterior ST segment elevation myocardial infarction
7571591000006111	Acute ST segment elevation myocardial infarction of anterior wall
7571631000006111	Acute STEMI (ST elevation myocardial infarction) of anterior wall with right ventricular involvement
7572311000006116	Acute periprocedural myocardial infarction
7572231000006119	Subsequent inferior ST segment elevation myocardial infarction
7572241000006112	Subsequent STEMI (ST elevation myocardial infarction) of inferior wall
7572841000006111	Acute myocardial infarction of inferior wall involving right ventricle
7572851000006113	Acute myocardial infarction of inferior wall with right ventricular involvement
7572871000006115	Acute myocardial infarction of anterior wall with right ventricular involvement
7572891000006119	Acute inferior ST segment elevation myocardial infarction with right ventricular involvement
7572901000006115	Acute STEMI (ST elevation myocardial infarction) of inferior wall with right ventricular involvement
7574101000006113	Mitral valve regurgitation due to acute myocardial infarction with papillary muscle and chordal rupture
1.23590910000e+16	Mitral valve regurgitation due to and following acute myocardial infarction
7574051000006113	Mitral regurgitation due to acute myocardial infarction
9844081000006114	Acute ST segment elevation myocardial infarction of posterobasal wall
7662881000006117	Inducible ischemia manifest on stress test post myocardial infarction
9844061000006116	Acute ST segment elevation MI (myocardial infarction) due to right coronary artery occlusion
9844031000006112	Acute ST segment elevation MI (myocardial infarction) due to left coronary artery occlusion
7807021000006119	Myocardial infarction clinical management plan
1.23689810000e+16	Ventricular aneurysm due to and following acute myocardial infarction
7848511000006113	Ventricular aneurysm following acute myocardial infarction
1.23689910000e+16	Pulmonary embolism due to and following acute myocardial infarction
7848531000006119	Pulmonary embolism following acute myocardial infarction
7848551000006114	Arrhythmia following acute myocardial infarction
1.23690010000e+16	Arrhythmia due to and following acute myocardial infarction
7848561000006111	Cardiogenic shock unrelated to mechanical complications as current complication following acute myocardial infarction
7848571000006116	Cardiogenic shock following acute myocardial infarction
405339016	Cerebrovascular accident
605501000006117	CVA unspecified
605491000006113	CVA - Cerebrovascular accident
395780010	Cerebral infarction
481028017	Subarachnoid haemorrhage
809421000006116	History of cerebrovascular accident
605461000006117	CVA - cerebrovascular accident due to cerebral artery occlusion
1222398015	Cerebral arterial occlusion
5010981000006119	Stroke
122401000006115	Stroke unspecified
744901000006114	Intracerebral haemorrhage (ICH)
300370010	Left sided CVA
300371014	Right sided CVA
411518010	H/O: CVA
605471000006112	Cerebral hemorrhage
158118014	Cerebellar infarction
2476091017	H/O: stroke
451133011	Left sided cerebral infarction
451134017	Right sided cerebral infarction
122371000006118	Cerebral haemorrhage
122361000006113	Stroke due to cerebral arterial occlusion
118689010	Cerebral thrombosis
299342019	Lacunar infarction
884521000006115	Stroke/CVA - undefined
300298011	Intracranial haemorrhage
1227591017	[V]Personal history of stroke
218511000000117	Infarction - cerebral
502878012	Cerebellar haemorrhage
2474651019	Infarction of basal ganglia
884531000006117	Stroke
300366019	Cerebellar stroke syndrome
524511000006116	Brainstem stroke syndrome
4778181000006119	Left sided cerebral hemisphere cerebrovascular accident
6990981000006114	Ischaemic stroke
300362017	Middle cerebral artery syndrome
4778201000006118	Right sided cerebral hemisphere cerebrovascular accident
125470015	Cerebral embolism
543141000006110	Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
300277011	Intracerebral haemorrhage, intraventricular
524541000006117	Brain stem infarction
300321011	Cerebral infarction due to thrombosis of cerebral arteries
5011091000006110	Partial anterior cerebral circulation infarction
300287010	Intracerebral haemorrhage NOS
503791000006114	Basal ganglia haemorrhage
300257016	Subarachnoid haemorrhage NOS
808111000006110	H/O subarachnoid haemorrhage
300364016	Posterior cerebral artery syndrome
5011131000006112	Posterior cerebral circulation infarction
300312010	Cerebral infarct due to thrombosis of precerebral arteries
501622012	Perinatal intraventricular haemorrhage
300943012	Cerebral artery occlusion
300941014	[X]Other cerebral infarction
5582311000006110	Occipital cerebral infarction
